	Date	Text	Favorite		
2	2020-12-31 22:30:55	(*ˊᵕˋ*)♪	1797		
5	2020-12-31 14:27:21	(〃´-`〃)	1919		
6	2020-12-31 14:25:23	⸜(* ॑꒳ ॑*  )⸝	2653		
6	2020-12-31 14:25:23	*.(*´͈ ˘ `͈…	2653		
7	2020-12-31 11:47:23	( *´꒳`* )	1931		
10	2020-12-30 21:59:21	(*ˊᵕˋ*)♪	595		
11	2020-12-30 21:58:11	(〃´-`〃)	1142		
12	2020-12-30 21:53:16	⸜(* ॑꒳ ॑*  )⸝	2621		
13	2020-12-29 23:09:23	«٩(*´ ꒳ `*)۶»	55		
17	2020-12-29 19:20:26	( *´꒳`* )	574		
18	2020-12-29 19:16:37	( ´͈ ᵕ `͈ )	1577		
20	2020-12-29 19:14:58	(⸝⸝•‧̫•⸝⸝)	2142		
21	2020-12-29 14:59:27	(꒪˙꒳˙꒪ )	1210		
22	2020-12-28 23:29:39	(  •̥ ˍ •̥  )	1414		
23	2020-12-28 22:06:54	⸜(* ॑꒳ ॑*  )⸝⋆*	690		
24	2020-12-28 19:45:07	⸜(* ॑꒳ ॑*  )⸝⋆*	552		
25	2020-12-28 17:26:47	( *´꒳`* )	1531		
26	2020-12-28 01:27:59	(〃´-`〃)	1021		
27	2020-12-27 14:15:21	⸜(*ˊᵕˋ* )⸝	3306		
33	2020-12-27 02:02:14	(꒪˙꒳˙꒪ )	2164		
41	2020-12-26 18:10:47	(*ˊᵕˋ*)♪	3670		
42	2020-12-26 15:26:14	(꒪˙꒳˙꒪ )	1912		
43	2020-12-26 10:00:22	⸜(* ॑꒳ ॑*  )⸝	1918		
45	2020-12-25 23:26:58	( *´꒳`* )	906		
46	2020-12-25 23:24:55	*.(*´͈ ˘ `͈*).*	4949		
47	2020-12-25 22:24:06	⸜(* ॑꒳ ॑*  )⸝⋆*	934		
47	2020-12-25 22:24:06	(*ˊᵕˋ*)♪	934		
48	2020-12-25 14:51:06	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2056		
48	2020-12-25 14:51:06	«٩(*´ ꒳ `*)۶»	2056		
52	2020-12-24 23:01:24	*.(*´͈ ˘ `͈*).*	1451		
53	2020-12-24 22:30:20	( *´꒳`* )	1607		
53	2020-12-24 22:30:20	(〃´-`〃)	1607		
56	2020-12-24 17:21:41	₍ᐢ• ‧̫ •̥ᐢ₎	1025		
57	2020-12-23 17:12:43	(*ˊᵕˋ*)♪	1281		
57	2020-12-23 17:12:43	⸜(* ॑꒳ ॑*  )⸝⋆*	1281		
58	2020-12-22 21:28:05	(*ˊᵕˋ*)♪	1800		
58	2020-12-22 21:28:05	( *˙˙*)	1800		
60	2020-12-22 13:38:37	(๑⃙⃘ˊ꒳​ˋ๑⃙)	778		
61	2020-12-21 23:03:10	( *´꒳`* )	712		
63	2020-12-21 07:03:40	( *˙˙*)	3582		
64	2020-12-21 04:32:58	(*ｐω-)｡O゜	2341		
64	2020-12-21 04:32:58	:,((•﹏•๑))),:	2341		
69	2020-12-19 23:03:46	( *´꒳`* )	3087		
70	2020-12-19 22:53:35	(⸝⸝o̴̶̷᷄  o̴̶̷̥᷅⸝⸝)	2833		
72	2020-12-19 22:43:08	(◉◞౪◟◉`)	1403		
78	2020-12-19 22:14:33	(๑⃙⃘ˊ꒳​ˋ๑⃙)	384		
80	2020-12-18 22:34:51	(*ˊᵕˋ*)♪	142		
81	2020-12-18 22:13:13	⸜(๑⃙⃘'ᗜ'…	694		
82	2020-12-18 15:50:25	( *´꒳`* )	4253		
83	2020-12-18 15:33:12	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1218		
84	2020-12-17 21:57:53	*.(*´͈ ˘ `͈*).*	1922		
88	2020-12-16 20:01:11	(〃´-`〃)	727		
91	2020-12-16 19:38:46	( *´꒳`* )	1537		
92	2020-12-16 19:37:54	(￣▽￣)	1663		
93	2020-12-16 17:53:47	⸜(*ˊᵕˋ* )⸝	261		
94	2020-12-15 23:03:58	(꒪˙꒳˙꒪ )	825		
95	2020-12-15 22:18:25	(*ˊᵕˋ*)♪	1704		
96	2020-12-15 19:46:34	⸜(* ॑꒳ ॑*  )⸝	804		
98	2020-12-14 23:38:20	(*ˊᵕˋ*)♪	790		
98	2020-12-14 23:38:20	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	790		
99	2020-12-14 22:43:59	( *´꒳`* )	687		
100	2020-12-14 22:42:47	(  ㆀ)	779		
100	2020-12-14 22:42:47	( ˙⌓˙ )	779		
102	2020-12-14 19:04:36	⸜(*…	609		
103	2020-12-14 10:19:12	( ˙꒳​˙  )	1147		
104	2020-12-13 22:08:30	⸜(* ॑꒳ ॑*  )⸝	1462		
105	2020-12-13 18:52:17	(〃´-`〃)	763		
106	2020-12-13 18:21:21	⸜(* ॑꒳…	596		
107	2020-12-13 17:03:43	(*ˊᵕˋ*)♪	707		
108	2020-12-13 16:37:56	(๑⃙⃘ˊ꒳​ˋ๑⃙)	6709		
110	2020-12-13 14:49:18	⸜(* ॑꒳ ॑*  )⸝	1657		
111	2020-12-13 12:49:15	⸜(*ˊᵕˋ* )⸝	1651		
116	2020-12-13 10:49:51	( *´꒳`* )	3455		
118	2020-12-12 21:44:57	( *´꒳`* )	599		
120	2020-12-12 20:12:54	(*ˊᵕˋ*)♪	559		
122	2020-12-12 20:04:34	(〃´-`〃)	2032		
122	2020-12-12 20:04:34	⸜(* ॑꒳ ॑*  )⸝	2032		
123	2020-12-12 18:19:16	⸜(* ॑꒳ ॑*  )⸝	635		
125	2020-12-12 10:36:59	( *´꒳`* )	67		
126	2020-12-11 21:28:45	(*´―｀*)	952		
127	2020-12-11 21:26:08	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	646		
128	2020-12-11 21:24:25	(〃´-`〃)	587		
128	2020-12-11 21:24:25	⸜(*ˊᵕˋ* )⸝	587		
130	2020-12-11 18:32:44	⸜(* ॑꒳ ॑*  )⸝	620		
131	2020-12-11 14:40:32	⸜(*ˊᵕˋ* )⸝	728		
134	2020-12-11 14:32:46	( *´꒳`* )	718		
135	2020-12-11 14:27:54	(〃´-`〃)	954		
136	2020-12-11 00:36:45	⸜(*ˊᵕˋ* )⸝	1267		
137	2020-12-11 00:31:54	(*´―｀*)	586		
138	2020-12-10 23:52:24	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	983		
139	2020-12-09 23:32:39	⸜(*ˊᵕˋ* )⸝	689		
142	2020-12-09 18:45:55	(* '-' )	617		
142	2020-12-09 18:45:55	⸜(*ˊᵕˋ*…	617		
143	2020-12-09 15:41:47	( *´꒳`* )	1902		
144	2020-12-08 23:03:07	( *´꒳`* )	1135		
144	2020-12-08 23:03:07	"( *´꒳`*)*"""	1135		
146	2020-12-08 19:28:06	(꒪˙꒳˙꒪ )	651		
150	2020-12-07 17:19:54	(  •̥ ˍ •̥  )	306		
150	2020-12-07 17:19:54	Σ( ˙꒳​˙  )!?	306		
152	2020-12-07 17:09:30	(꒪˙꒳˙꒪ )	2488		
156	2020-12-06 16:22:53	(๑⃙⃘ˊ꒳​ˋ๑⃙)	797		
157	2020-12-06 15:44:25	⸜(*ˊᵕˋ* )⸝	1237		
158	2020-12-06 15:40:01	⸜((⑉&gt; &lt;)⸝	2060		
159	2020-12-06 15:17:09	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	720		
161	2020-12-06 14:26:07	( *´꒳`* )	492		
165	2020-12-06 13:32:40	"( *´꒳`*)*"""	632		
167	2020-12-06 13:18:15	(*♥д♥*)	490		
169	2020-12-06 00:00:53	(* '-' )	628		
171	2020-12-05 23:39:28	(  •̥ ˍ •̥  )	531		
173	2020-12-05 23:05:58	⸜(* ॑꒳ ॑*  )⸝	786		
174	2020-12-05 23:05:37	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	491		
175	2020-12-05 23:03:18	( *´꒳`* )	3579		
175	2020-12-05 23:03:18	ヾ(･ω･`*)	3579		
183	2020-12-05 22:19:10	(￣▽￣)	1438		
185	2020-12-05 16:23:19	⋆* ⁑⋆* (๑•﹏•)⋆* ⁑⋆*	1602		
187	2020-12-05 11:52:28	(〃´-`〃)	1464		
191	2020-12-04 21:26:55	( *´꒳`* )	846		
192	2020-12-04 18:04:18	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	805		
194	2020-12-04 14:34:30	⸜(*ˊᵕˋ* )⸝	946		
195	2020-12-03 22:34:28	( *´꒳`* )	2328		
196	2020-12-03 15:24:14	⸜(* ॑꒳ ॑*  )⸝	779		
198	2020-12-03 13:30:07	⸜(* ॑꒳ ॑*  )⸝	919		
201	2020-12-02 15:50:27	(〃´-`〃)	885		
203	2020-12-01 17:43:21	(  •̥ ˍ •̥  )	2787		
204	2020-12-01 17:30:41	( ˇωˇ )	264		
206	2020-11-30 22:38:15	( *´꒳`* )	1235		
207	2020-11-30 22:23:12	(〃´-`〃)	10322		
209	2020-11-30 22:19:41	⸜(* ॑꒳ ॑*  )⸝	1379		
213	2020-11-29 22:42:13	⸜(* ॑꒳ ॑*  )⸝⋆*	2671		
215	2020-11-29 19:28:59	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1182		
216	2020-11-29 12:36:32	(๑´ڡ`๑)	1262		
222	2020-11-28 20:38:14	( *´꒳`* )	1997		
224	2020-11-27 20:50:42	⸜(*ˊᵕˋ* )⸝	1075		
